id,preço,estado,data
1,"10,50",SP,20/01/2020
2,"23,90",RJ,15/03/2020
3,"45,00",MG,07/07/2021
4,"12,75",BA,30/08/2021
5,"99,99",SP,01/01/2022
6,"8,60",PR,12/12/2022
7,"150,00",RS,25/04/2023
8,"32,45",PE,05/09/2023
9,"60,10",CE,11/11/2023
10,"27,80",AM,28/02/2024
11,"14,30",GO,03/03/2024
12,"76,90",SC,19/03/2024
13,"5,50",MT,21/03/2024
14,"33,25",MS,22/03/2024
15,"48,70",PA,23/03/2024
16,"11,40",PB,24/03/2024
17,"99,00",MA,25/03/2024
18,"66,66",PI,26/03/2024
19,"27,30",RN,27/03/2024
20,"89,99",AL,28/03/2024
21,"10,00",SE,29/03/2024
22,"25,25",TO,30/03/2024
23,"38,38",RR,31/03/2024
24,"19,95",RO,01/04/2024
25,"73,50",AC,02/04/2024
26,"41,10",AP,03/04/2024
27,"55,55",DF,04/04/2024
28,"68,80",SP,05/04/2024
29,"90,45",RJ,06/04/2024
30,"12,60",MG,07/04/2024
